[2022-10-19T17:22:38.497] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-19T17:23:08.457] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/producto, Metodo GET
[2022-10-19T18:00:54.123] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:01:10.257] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:01:27.781] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:01:33.051] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:02:33.296] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:02:57.821] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:03:19.304] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:03:20.450] [WARN] warnArchive - Estado: 404, Ruta consultada: /styles.css, Metodo GET
[2022-10-19T18:28:17.569] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:28:17.629] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Registro.png, Metodo GET
[2022-10-19T18:28:17.639] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
[2022-10-19T18:28:39.508] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:28:39.554] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Registro.png, Metodo GET
[2022-10-19T18:28:39.557] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
[2022-10-19T18:29:04.524] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:29:04.587] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Registro.png, Metodo GET
[2022-10-19T18:29:04.593] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
[2022-10-19T18:30:30.877] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:34:21.909] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:34:59.370] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Creacion.png, Metodo GET
[2022-10-19T18:35:17.590] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
[2022-10-19T18:35:20.144] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
[2022-10-19T18:35:22.147] [WARN] warnArchive - Estado: 404, Ruta consultada: /img/Correo.png, Metodo GET
